Baden-Württemberg,11280257,48.7758,9.1829
Bayern,13369393,48.1351,11.582
Berlin,3755251,52.52,13.405
Brandenburg,2573135,52.3906,13.0645
Bremen,684864,53.0793,8.8017
Hamburg,1892122,53.5488,9.9872
Hessen,6391360,50.0782,8.2398
Mecklenburg-Vorpommern,1628378,53.6355,11.4012
Niedersachsen,8140242,52.3759,9.732
Nordrhein-Westfalen,18139116,51.2274,6.7736
Rheinland-Pfalz,4159150,49.9929,8.2473
Saarland,992666,49.2382,6.9975
Sachsen,4086152,51.0504,13.7373
Sachsen-Anhalt,2186643,52.1205,11.6276
Schleswig-Holstein,2953270,54.3233,10.1228
Thüringen,2126846,50.9848,11.0299
